,target_gene,category,class,gene_descriptor,genomic_location_GRCh38,refseq_examples,similar_genes_functional,key_pathways,drug_associated_interactions,reference_gene,reference_gene_GenePTembedding,reference_description_GenePTembedding,target_name_GenePTembedding,target_description_GenePTembedding,reference_gene_description,target_gene_description
10,BRCA1,Genome importance → disease,Disease gene (DNA repair tumour suppressor),Core HR DNA repair factor; loss predisposes to breast/ovarian cancer and drives PARP inhibitor sensitivity.,"chr17:43,044,295–43,170,327 (17q21.31)",['NM_007294.4'],"['BRCA2', 'PALB2', 'BARD1', 'RAD51', 'CHEK2']",,"[{'drug_name': 'Olaparib (PARP inhibitor)', 'mechanism': 'Exploits HR deficiency via PARP1/2 blockade', 'smiles': 'Fc1c(cc(cc1)C=C4NNC(=O)c5c4cccc5)C(=O)N2CCN(CC2)C(=O)C3CC3'}]",CHEK2,"[-0.02365346  0.00203409 -0.00752917 ... -0.00183169  0.00454381
 -0.00933725]","[-0.03148861 -0.0149433  -0.02123315 ... -0.0011974  -0.01302615
 -0.00655575]","[-0.02887905 -0.02564534 -0.02051099 ... -0.006771   -0.01548223
 -0.01263788]","[-0.03991819 -0.00813607 -0.02300768 ... -0.00866371 -0.02678583
 -0.00010031]","Gene Symbol CHEK2 In response to DNA damage and replication blocks, cell cycle progression is halted through the control of critical cell cycle regulators. The protein encoded by this gene is a cell cycle checkpoint regulator and putative tumor suppressor. It contains a forkhead-associated protein interaction domain essential for activation in response to DNA damage and is rapidly phosphorylated in response to replication blocks and DNA damage. When activated, the encoded protein is known to inhibit CDC25C phosphatase, preventing entry into mitosis, and has been shown to stabilize the tumor suppressor protein p53, leading to cell cycle arrest in G1. In addition, this protein interacts with and phosphorylates BRCA1, allowing BRCA1 to restore survival after DNA damage. Mutations in this gene have been linked with Li-Fraumeni syndrome, a highly penetrant familial cancer phenotype usually associated with inherited mutations in TP53. Also, mutations in this gene are thought to confer a predisposition to sarcomas, breast cancer, and brain tumors. This nuclear protein is a member of the CDS1 subfamily of serine/threonine protein kinases. Several transcript variants encoding different isoforms have been found for this gene.","Gene Symbol BRCA1 This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The BRCA1 gene contains 22 exons spanning about 110 kb of DNA. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified."
11,BRCA1,Genome importance → disease,Disease gene (DNA repair tumour suppressor),Core HR DNA repair factor; loss predisposes to breast/ovarian cancer and drives PARP inhibitor sensitivity.,"chr17:43,044,295–43,170,327 (17q21.31)",['NM_007294.4'],"['BRCA2', 'PALB2', 'BARD1', 'RAD51', 'CHEK2']",,"[{'drug_name': 'Olaparib (PARP inhibitor)', 'mechanism': 'Exploits HR deficiency via PARP1/2 blockade', 'smiles': 'Fc1c(cc(cc1)C=C4NNC(=O)c5c4cccc5)C(=O)N2CCN(CC2)C(=O)C3CC3'}]",BRCA2,"[-0.03738425 -0.02527122 -0.01209293 ... -0.00575503 -0.02200177
 -0.00501137]","[-0.03943034 -0.00638244 -0.02438762 ...  0.00326747 -0.01683382
 -0.00226971]","[-0.02887905 -0.02564534 -0.02051099 ... -0.006771   -0.01548223
 -0.01263788]","[-0.03991819 -0.00813607 -0.02300768 ... -0.00866371 -0.02678583
 -0.00010031]","Gene Symbol BRCA2 Inherited mutations in BRCA1 and this gene, BRCA2, confer increased lifetime risk of developing breast or ovarian cancer. Both BRCA1 and BRCA2 are involved in maintenance of genome stability, specifically the homologous recombination pathway for double-strand DNA repair. The largest exon in both genes is exon 11, which harbors the most important and frequent mutations in breast cancer patients. The BRCA2 gene was found on chromosome 13q12.3 in human. The BRCA2 protein contains several copies of a 70 aa motif called the BRC motif, and these motifs mediate binding to the RAD51 recombinase which functions in DNA repair. BRCA2 is considered a tumor suppressor gene, as tumors with BRCA2 mutations generally exhibit loss of heterozygosity (LOH) of the wild-type allele.","Gene Symbol BRCA1 This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The BRCA1 gene contains 22 exons spanning about 110 kb of DNA. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified."
12,BRCA1,Genome importance → disease,Disease gene (DNA repair tumour suppressor),Core HR DNA repair factor; loss predisposes to breast/ovarian cancer and drives PARP inhibitor sensitivity.,"chr17:43,044,295–43,170,327 (17q21.31)",['NM_007294.4'],"['BRCA2', 'PALB2', 'BARD1', 'RAD51', 'CHEK2']",,"[{'drug_name': 'Olaparib (PARP inhibitor)', 'mechanism': 'Exploits HR deficiency via PARP1/2 blockade', 'smiles': 'Fc1c(cc(cc1)C=C4NNC(=O)c5c4cccc5)C(=O)N2CCN(CC2)C(=O)C3CC3'}]",PALB2,"[-0.02510594 -0.00017446  0.02693305 ... -0.02032837 -0.01065818
 -0.00582647]","[-0.05167237 -0.00527042 -0.00163599 ... -0.00875139 -0.02443857
  0.00023409]","[-0.02887905 -0.02564534 -0.02051099 ... -0.006771   -0.01548223
 -0.01263788]","[-0.03991819 -0.00813607 -0.02300768 ... -0.00866371 -0.02678583
 -0.00010031]",Gene Symbol PALB2 This gene encodes a protein that may function in tumor suppression. This protein binds to and colocalizes with the breast cancer 2 early onset protein (BRCA2) in nuclear foci and likely permits the stable intranuclear localization and accumulation of BRCA2.,"Gene Symbol BRCA1 This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The BRCA1 gene contains 22 exons spanning about 110 kb of DNA. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified."
13,BRCA1,Genome importance → disease,Disease gene (DNA repair tumour suppressor),Core HR DNA repair factor; loss predisposes to breast/ovarian cancer and drives PARP inhibitor sensitivity.,"chr17:43,044,295–43,170,327 (17q21.31)",['NM_007294.4'],"['BRCA2', 'PALB2', 'BARD1', 'RAD51', 'CHEK2']",,"[{'drug_name': 'Olaparib (PARP inhibitor)', 'mechanism': 'Exploits HR deficiency via PARP1/2 blockade', 'smiles': 'Fc1c(cc(cc1)C=C4NNC(=O)c5c4cccc5)C(=O)N2CCN(CC2)C(=O)C3CC3'}]",BARD1,"[-0.01151101 -0.0110619  -0.01421948 ... -0.02819023 -0.02017536
 -0.01161465]","[-0.04707543 -0.02490106 -0.02300307 ... -0.00650595 -0.03386972
 -0.00180108]","[-0.02887905 -0.02564534 -0.02051099 ... -0.006771   -0.01548223
 -0.01263788]","[-0.03991819 -0.00813607 -0.02300768 ... -0.00866371 -0.02678583
 -0.00010031]","Gene Symbol BARD1 This gene encodes a protein which interacts with the N-terminal region of BRCA1. In addition to its ability to bind BRCA1 in vivo and in vitro, it shares homology with the 2 most conserved regions of BRCA1: the N-terminal RING motif and the C-terminal BRCT domain. The RING motif is a cysteine-rich sequence found in a variety of proteins that regulate cell growth, including the products of tumor suppressor genes and dominant protooncogenes. This protein also contains 3 tandem ankyrin repeats. The BARD1/BRCA1 interaction is disrupted by tumorigenic amino acid substitutions in BRCA1, implying that the formation of a stable complex between these proteins may be an essential aspect of BRCA1 tumor suppression. This protein may be the target of oncogenic mutations in breast or ovarian cancer. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene.","Gene Symbol BRCA1 This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The BRCA1 gene contains 22 exons spanning about 110 kb of DNA. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified."
14,BRCA1,Genome importance → disease,Disease gene (DNA repair tumour suppressor),Core HR DNA repair factor; loss predisposes to breast/ovarian cancer and drives PARP inhibitor sensitivity.,"chr17:43,044,295–43,170,327 (17q21.31)",['NM_007294.4'],"['BRCA2', 'PALB2', 'BARD1', 'RAD51', 'CHEK2']",,"[{'drug_name': 'Olaparib (PARP inhibitor)', 'mechanism': 'Exploits HR deficiency via PARP1/2 blockade', 'smiles': 'Fc1c(cc(cc1)C=C4NNC(=O)c5c4cccc5)C(=O)N2CCN(CC2)C(=O)C3CC3'}]",RAD51,"[-0.02320974 -0.00196943 -0.01876769 ... -0.02209923 -0.01339558
 -0.01351357]","[-0.05368793 -0.02206532 -0.02218283 ... -0.00070464 -0.02083802
 -0.00011169]","[-0.02887905 -0.02564534 -0.02051099 ... -0.006771   -0.01548223
 -0.01263788]","[-0.03991819 -0.00813607 -0.02300768 ... -0.00866371 -0.02678583
 -0.00010031]","Gene Symbol RAD51 The protein encoded by this gene is a member of the RAD51 protein family. RAD51 family members are highly similar to bacterial RecA and Saccharomyces cerevisiae Rad51, and are known to be involved in the homologous recombination and repair of DNA. This protein can interact with the ssDNA-binding protein RPA and RAD52, and it is thought to play roles in homologous pairing and strand transfer of DNA. This protein is also found to interact with BRCA1 and BRCA2, which may be important for the cellular response to DNA damage. BRCA2 is shown to regulate both the intracellular localization and DNA-binding ability of this protein. Loss of these controls following BRCA2 inactivation may be a key event leading to genomic instability and tumorigenesis. Multiple transcript variants encoding different isoforms have been found for this gene.","Gene Symbol BRCA1 This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The BRCA1 gene contains 22 exons spanning about 110 kb of DNA. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified."
15,CFTR,Genome importance → disease,Disease gene (channelopathy),ABC transporter family member functioning as a cAMP-regulated chloride channel in epithelial cells; pathogenic variants cause cystic fibrosis.,7q31.2,['NM_000492.4'],"['ABCC4', 'ABCC2', 'SLC9A3', 'ENaC complex']",,"[{'drug_name': 'Ivacaftor (CFTR potentiator)', 'mechanism': 'Increases open probability of gating-defective CFTR', 'smiles': 'CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C'}]",ABCC4,"[-0.02015979 -0.01942143  0.0037709  ... -0.02348239 -0.01499129
 -0.01857759]","[-0.01528191 -0.01744619 -0.00148959 ... -0.04489556 -0.02842594
 -0.00959408]","[-0.03002132 -0.0183843  -0.01423213 ...  0.0328896   0.00576387
 -0.01951795]","[-0.02046665 -0.00575056 -0.00135393 ... -0.00256158 -0.02837244
 -0.01285342]","Gene Symbol ABCC4 The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This family member plays a role in cellular detoxification as a pump for its substrate, organic anions. It may also function in prostaglandin-mediated cAMP signaling in ciliogenesis. Alternative splicing of this gene results in multiple transcript variants.","Gene Symbol CFTR This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. The encoded protein functions as a chloride channel, making it unique among members of this protein family, and controls ion and water secretion and absorption in epithelial tissues. Channel activation is mediated by cycles of regulatory domain phosphorylation, ATP-binding by the nucleotide-binding domains, and ATP hydrolysis. Mutations in this gene cause cystic fibrosis, the most common lethal genetic disorder in populations of Northern European descent. The most frequently occurring mutation in cystic fibrosis, DeltaF508, results in impaired folding and trafficking of the encoded protein. Multiple pseudogenes have been identified in the human genome."
16,CFTR,Genome importance → disease,Disease gene (channelopathy),ABC transporter family member functioning as a cAMP-regulated chloride channel in epithelial cells; pathogenic variants cause cystic fibrosis.,7q31.2,['NM_000492.4'],"['ABCC4', 'ABCC2', 'SLC9A3', 'ENaC complex']",,"[{'drug_name': 'Ivacaftor (CFTR potentiator)', 'mechanism': 'Increases open probability of gating-defective CFTR', 'smiles': 'CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C'}]",ABCC2,"[-0.02041979 -0.02125409 -0.00229603 ... -0.02282694 -0.02089848
 -0.01689112]","[-0.01357173 -0.00880788 -0.00070632 ... -0.04962778 -0.03036299
 -0.00261586]","[-0.03002132 -0.0183843  -0.01423213 ...  0.0328896   0.00576387
 -0.01951795]","[-0.02046665 -0.00575056 -0.00135393 ... -0.00256158 -0.02837244
 -0.01285342]","Gene Symbol ABCC2 The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. This protein is expressed in the canalicular (apical) part of the hepatocyte and functions in biliary transport. Substrates include anticancer drugs such as vinblastine; therefore, this protein appears to contribute to drug resistance in mammalian cells. Several different mutations in this gene have been observed in patients with Dubin-Johnson syndrome (DJS), an autosomal recessive disorder characterized by conjugated hyperbilirubinemia.","Gene Symbol CFTR This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. The encoded protein functions as a chloride channel, making it unique among members of this protein family, and controls ion and water secretion and absorption in epithelial tissues. Channel activation is mediated by cycles of regulatory domain phosphorylation, ATP-binding by the nucleotide-binding domains, and ATP hydrolysis. Mutations in this gene cause cystic fibrosis, the most common lethal genetic disorder in populations of Northern European descent. The most frequently occurring mutation in cystic fibrosis, DeltaF508, results in impaired folding and trafficking of the encoded protein. Multiple pseudogenes have been identified in the human genome."
17,CFTR,Genome importance → disease,Disease gene (channelopathy),ABC transporter family member functioning as a cAMP-regulated chloride channel in epithelial cells; pathogenic variants cause cystic fibrosis.,7q31.2,['NM_000492.4'],"['ABCC4', 'ABCC2', 'SLC9A3', 'ENaC complex']",,"[{'drug_name': 'Ivacaftor (CFTR potentiator)', 'mechanism': 'Increases open probability of gating-defective CFTR', 'smiles': 'CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C'}]",SLC9A3,"[-0.01896371  0.00580829  0.01030693 ... -0.0264418  -0.00492428
 -0.01160348]","[-0.00632107  0.01822032  0.019276   ... -0.03060179 -0.00796976
 -0.01799875]","[-0.03002132 -0.0183843  -0.01423213 ...  0.0328896   0.00576387
 -0.01951795]","[-0.02046665 -0.00575056 -0.00135393 ... -0.00256158 -0.02837244
 -0.01285342]",Gene Symbol SLC9A3 The protein encoded by this gene is an epithelial brush border Na/H exchanger that uses an inward sodium ion gradient to expel acids from the cell. Defects in this gene are a cause of congenital secretory sodium diarrhea. Pseudogenes of this gene exist on chromosomes 10 and 22.,"Gene Symbol CFTR This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. The encoded protein functions as a chloride channel, making it unique among members of this protein family, and controls ion and water secretion and absorption in epithelial tissues. Channel activation is mediated by cycles of regulatory domain phosphorylation, ATP-binding by the nucleotide-binding domains, and ATP hydrolysis. Mutations in this gene cause cystic fibrosis, the most common lethal genetic disorder in populations of Northern European descent. The most frequently occurring mutation in cystic fibrosis, DeltaF508, results in impaired folding and trafficking of the encoded protein. Multiple pseudogenes have been identified in the human genome."
18,CYP2C19,Gene-to-Drug interactions,Gene-to-Drugs (pharmacogene),Polymorphic P450 that activates clopidogrel and metabolizes PPIs and several psychotropics.,10q23.33,,,,"[{'drug_name': 'Clopidogrel', 'mechanism': 'CYP2C19-dependent bioactivation', 'smiles': 'COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl'}]",,,,,,No Description,"Gene Symbol CYP2C19 This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is known to metabolize many xenobiotics, including the anticonvulsive drug mephenytoin, omeprazole, diazepam and some barbiturates. Polymorphism within this gene is associated with variable ability to metabolize mephenytoin, known as the poor metabolizer and extensive metabolizer phenotypes. The gene is located within a cluster of cytochrome P450 genes on chromosome 10q24."
19,CYP2D6,Gene-to-Drug interactions,Gene-to-Drugs (pharmacogene),Cytochrome P450 enzyme with highly polymorphic activity affecting the metabolism of many drugs.,22q13.2,,,,"[{'drug_name': 'Codeine', 'mechanism': 'Prodrug bioactivation to morphine via CYP2D6', 'smiles': 'CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O'}, {'drug_name': 'Metoprolol', 'mechanism': 'Major CYP2D6 substrate', 'smiles': 'CC(C)NCC(COC1=CC=C(C=C1)CCOC)O'}]",,,,,,No Description,"Gene Symbol CYP2D6 This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is known to metabolize as many as 25% of commonly prescribed drugs. Its substrates include antidepressants, antipsychotics, analgesics and antitussives, beta adrenergic blocking agents, antiarrythmics and antiemetics. The gene is highly polymorphic in the human population; certain alleles result in the poor metabolizer phenotype, characterized by a decreased ability to metabolize the enzyme's substrates. Some individuals with the poor metabolizer phenotype have no functional protein since they carry 2 null alleles whereas in other individuals the gene is absent. This gene can vary in copy number and individuals with the ultrarapid metabolizer phenotype can have 3 or more active copies of the gene. Alternatively spliced transcript variants encoding different isoforms have been found for this gene."
20,EGFR,Gene-to-Gene interaction hubs,Interaction hub (RTK),Ligand-activated RTK driving proliferation/survival signaling; activating lung-cancer mutations are TKI-sensitive.,7p11.2,,"['ERBB2', 'ERBB3', 'ERBB4', 'MET', 'KRAS']",,"[{'drug_name': 'Gefitinib', 'mechanism': 'ATP-competitive EGFR TKI', 'smiles': 'COC1=CC2=NC=NC(NC3=CC(Cl)=C(F)C=C3)=C2C=C1OCCCN4CCOCC4'}]",ERBB2,"[-0.03973693 -0.02270128 -0.02191223 ... -0.02271421 -0.01126656
 -0.00112375]","[-0.05190114 -0.01332562 -0.02219239 ... -0.02688056 -0.01498177
  0.0006127 ]","[-0.02690916 -0.01469479 -0.00301002 ... -0.03201747  0.00762225
 -0.00866805]","[-0.04124489 -0.01497961 -0.02621432 ... -0.03625169 -0.00083034
 -0.0059358 ]","Gene Symbol ERBB2 This gene encodes a member of the epidermal growth factor (EGF) receptor family of receptor tyrosine kinases. This protein has no ligand binding domain of its own and therefore cannot bind growth factors. However, it does bind tightly to other ligand-bound EGF receptor family members to form a heterodimer, stabilizing ligand binding and enhancing kinase-mediated activation of downstream signalling pathways, such as those involving mitogen-activated protein kinase and phosphatidylinositol-3 kinase. Allelic variations at amino acid positions 654 and 655 of isoform a (positions 624 and 625 of isoform b) have been reported, with the most common allele, Ile654/Ile655, shown here. Amplification and/or overexpression of this gene has been reported in numerous cancers, including breast and ovarian tumors. Alternative splicing results in several additional transcript variants, some encoding different isoforms and others that have not been fully characterized.","Gene Symbol EGFR The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2)."
21,EGFR,Gene-to-Gene interaction hubs,Interaction hub (RTK),Ligand-activated RTK driving proliferation/survival signaling; activating lung-cancer mutations are TKI-sensitive.,7p11.2,,"['ERBB2', 'ERBB3', 'ERBB4', 'MET', 'KRAS']",,"[{'drug_name': 'Gefitinib', 'mechanism': 'ATP-competitive EGFR TKI', 'smiles': 'COC1=CC2=NC=NC(NC3=CC(Cl)=C(F)C=C3)=C2C=C1OCCCN4CCOCC4'}]",ERBB3,"[-0.03843002 -0.02428581 -0.02038618 ... -0.01714293 -0.00102719
 -0.01359079]","[-0.05184197 -0.02433399 -0.02768862 ... -0.02714672 -0.01335402
  0.00578674]","[-0.02690916 -0.01469479 -0.00301002 ... -0.03201747  0.00762225
 -0.00866805]","[-0.04124489 -0.01497961 -0.02621432 ... -0.03625169 -0.00083034
 -0.0059358 ]","Gene Symbol ERBB3 This gene encodes a member of the epidermal growth factor receptor (EGFR) family of receptor tyrosine kinases. This membrane-bound protein has a neuregulin binding domain but not an active kinase domain. It therefore can bind this ligand but not convey the signal into the cell through protein phosphorylation. However, it does form heterodimers with other EGF receptor family members which do have kinase activity. Heterodimerization leads to the activation of pathways which lead to cell proliferation or differentiation. Amplification of this gene and/or overexpression of its protein have been reported in numerous cancers, including prostate, bladder, and breast tumors. Alternate transcriptional splice variants encoding different isoforms have been characterized. One isoform lacks the intermembrane region and is secreted outside the cell. This form acts to modulate the activity of the membrane-bound form. Additional splice variants have also been reported, but they have not been thoroughly characterized.","Gene Symbol EGFR The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2)."
22,EGFR,Gene-to-Gene interaction hubs,Interaction hub (RTK),Ligand-activated RTK driving proliferation/survival signaling; activating lung-cancer mutations are TKI-sensitive.,7p11.2,,"['ERBB2', 'ERBB3', 'ERBB4', 'MET', 'KRAS']",,"[{'drug_name': 'Gefitinib', 'mechanism': 'ATP-competitive EGFR TKI', 'smiles': 'COC1=CC2=NC=NC(NC3=CC(Cl)=C(F)C=C3)=C2C=C1OCCCN4CCOCC4'}]",ERBB4,"[-0.04012247 -0.0167493  -0.02312035 ... -0.01822829 -0.00541034
 -0.00895613]","[-0.04282229 -0.02361277 -0.01911939 ... -0.0226729  -0.01279776
 -0.00425519]","[-0.02690916 -0.01469479 -0.00301002 ... -0.03201747  0.00762225
 -0.00866805]","[-0.04124489 -0.01497961 -0.02621432 ... -0.03625169 -0.00083034
 -0.0059358 ]","Gene Symbol ERBB4 This gene is a member of the Tyr protein kinase family and the epidermal growth factor receptor subfamily. It encodes a single-pass type I membrane protein with multiple cysteine rich domains, a transmembrane domain, a tyrosine kinase domain, a phosphotidylinositol-3 kinase binding site and a PDZ domain binding motif. The protein binds to and is activated by neuregulins and other factors and induces a variety of cellular responses including mitogenesis and differentiation. Multiple proteolytic events allow for the release of a cytoplasmic fragment and an extracellular fragment. Mutations in this gene have been associated with cancer. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized.","Gene Symbol EGFR The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2)."
23,EGFR,Gene-to-Gene interaction hubs,Interaction hub (RTK),Ligand-activated RTK driving proliferation/survival signaling; activating lung-cancer mutations are TKI-sensitive.,7p11.2,,"['ERBB2', 'ERBB3', 'ERBB4', 'MET', 'KRAS']",,"[{'drug_name': 'Gefitinib', 'mechanism': 'ATP-competitive EGFR TKI', 'smiles': 'COC1=CC2=NC=NC(NC3=CC(Cl)=C(F)C=C3)=C2C=C1OCCCN4CCOCC4'}]",MET,"[-0.02402196 -0.02636453 -0.00732585 ... -0.01712204 -0.02576824
 -0.02008929]","[-0.03663062 -0.01542683 -0.02387208 ... -0.0351799  -0.02354825
  0.00198016]","[-0.02690916 -0.01469479 -0.00301002 ... -0.03201747  0.00762225
 -0.00866805]","[-0.04124489 -0.01497961 -0.02621432 ... -0.03625169 -0.00083034
 -0.0059358 ]","Gene Symbol MET This gene encodes a member of the receptor tyrosine kinase family of proteins and the product of the proto-oncogene MET. The encoded preproprotein is proteolytically processed to generate alpha and beta subunits that are linked via disulfide bonds to form the mature receptor. Further processing of the beta subunit results in the formation of the M10 peptide, which has been shown to reduce lung fibrosis. Binding of its ligand, hepatocyte growth factor, induces dimerization and activation of the receptor, which plays a role in cellular survival, embryogenesis, and cellular migration and invasion. Mutations in this gene are associated with papillary renal cell carcinoma, hepatocellular carcinoma, and various head and neck cancers. Amplification and overexpression of this gene are also associated with multiple human cancers.","Gene Symbol EGFR The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2)."
